powerInW,timeInMinutes
654.55,0
981.82,1
720.0,2
1080.0,3
1200.0,4
1600.0,5
830.77,6
1200.0,7
1200.0,8
900.0,9
1600.0,10
1309.09,11
900.0,12
1800.0,13
1800.0,14
1200.0,15
1440.0,16
1080.0,17
1440.0,18
1200.0,19
1600.0,20
1200.0,21
1309.09,22
1440.0,23
1200.0,24
1440.0,25
1309.09,26
1200.0,27
1600.0,28
1600.0,29
1200.0,30
981.82,31
1800.0,32
1350.0,33
1440.0,34
1600.0,35
1309.09,36
1080.0,37
1080.0,38
1080.0,39
1440.0,40
1600.0,41
2880.0,42
1080.0,43
1200.0,44
1080.0,45
1440.0,46
1440.0,47
1440.0,48
1309.09,49
981.82,50
981.82,51
981.82,52
1440.0,53
1080.0,54
1200.0,55
1200.0,56
981.82,57
1080.0,58
900.0,59
1200.0,60
1200.0,61
1080.0,62
2880.0,63
1309.09,64
1440.0,65
1600.0,66
981.82,67
981.82,68
1600.0,69
1600.0,70
1107.69,71
2057.14,72
1440.0,73
1440.0,74
1440.0,75
1080.0,76
1080.0,77
1080.0,78
900.0,79
1600.0,80
1600.0,81
1440.0,82
1600.0,83
1309.09,84
981.82,85
1200.0,86
1440.0,87
1028.57,88
1080.0,89
1080.0,90
1309.09,91
2880.0,92
1800.0,93
981.82,94
1080.0,95
1200.0,96
2057.14,97
1309.09,98
1309.09,99
2160.0,100
1080.0,101
1200.0,102
1200.0,103
1080.0,104
1309.09,105
1440.0,106
2057.14,107
1309.09,108
1800.0,109
1800.0,110
1600.0,111
2880.0,112
1600.0,113
1600.0,114
1309.09,115
1600.0,116
1440.0,117
1200.0,118
981.82,119
1309.09,120
1200.0,121
2880.0,122
1080.0,123
1080.0,124
1200.0,125
1309.09,126
1600.0,127
1080.0,128
1080.0,129
981.82,130
1080.0,131
1309.09,132
1440.0,133
1080.0,134
1080.0,135
1440.0,136
1800.0,137
981.82,138
1200.0,139
1080.0,140
1440.0,141
1080.0,142
2160.0,143
1600.0,144
1309.09,145
1080.0,146
981.82,147
1440.0,148
1080.0,149
1080.0,150
981.82,151
981.82,152
1080.0,153
1080.0,154
1080.0,155
1600.0,156
1200.0,157
1080.0,158
1440.0,159
981.82,160
1800.0,161
1800.0,162
1080.0,163
1080.0,164
1440.0,165
1080.0,166
1440.0,167
1600.0,168
1080.0,169
1200.0,170
1200.0,171
2400.0,172
1350.0,173
1440.0,174
981.82,175
800.0,176
800.0,177
800.0,178
800.0,179
16.36,180
